,type
Novel,101
Unspecified,62
Non-fiction,44
Biography,7
Instructional,7
Autobiography,5
Fiction,5
Political,5
Political manifesto,5
Political novella,4
History,4
Religious text,4
Autobiographical novel,3
Memoir,3
Collection of poetry,3
Poems,2
Instructional manual on euthanasia,2
Children's fiction,2
Collection of essays,2
Novel Sequence,2
Comic book series,1
Non-fiction novel,1
Japanese Manga,1
Bible Translation,1
Anthology of short stories,1
Semi-autobiographical novel,1
Short story collections,1
Literature and Culture,1
"Novel, Literary fiction",1
Compilation of selected Chinese official documents,1
Short story,1
Short story collection,1
Novel (fictionalized memoir),1
Anti-war novel,1
Short stories,1
Sesame Street book,1
Non-fiction; Children's book,1
Religious education,1
Biography of Hassan II of Morocco,1
Essay,1
Historical work,1
Educative Theory,1
Spiritual/Political[64][65][66],1
Politics,1
Government study,1
Story collection,1
Investigative Journalism,1
Map book,1
Fable,1
Poem,1
"Poetry, drama",1
Play,1
Drama,1
Collection of songs,1
Academic study,1
Sufi evangalism,1
Non-fiction thriller,1
Non- fiction,1
Non-Fiction,1
Manifesto,1
School textbook,1
Economy,1
True crime,1
Family history,1
Religious,1
Criticism,1
Autobiographical prose poetry,1
